Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Abner;Betis;BRA;DF;22;13;607;0;0;0;1.7;0.1;0.0;0.0;0.0;0.25;0.02;La Liga;5;0.74;0.15;71.8;87.2;70.1;38.1;-0.1;0.69;0.62;0.62;1.54;1.85;32.69;0.23;30.0;1.18;0.15;36.0;1.08;10.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.7;19.38;27.0;10.0;7.23;1.23;298.92;121.38;0.04;0.15;1.38;0.23;0.08;1.23;0.84;3.31;0.62;0.15;0.69;-9.200000000000001;-0.59;38
Paul Akouokou;Betis;CIV;MF,DF;24;12;447;0;0;0;0.2;0.0;0.0;0.0;0.0;0.03;0.0;La Liga;3;0.60;0.20;92.0;97.3;95.7;77.8;0.0;0.75;0.17;1.0;2.33;1.42;19.42;0.25;60.0;0.40;0.00;46.2;1.67;8.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;13.33;14.5;5.92;5.5;1.17;222.5;53.75;0.01;0.0;1.08;0.08;0.0;0.83;0.74;2.25;0.58;0.33;0.5;-8.700000000000001;-0.71;38
Claudio Bravo;Betis;CHI;GK;39;12;1080;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;59.2;100.0;97.8;38.2;0.0;0.0;0.0;0.17;0.17;0.08;34.5;0.0;0;0.25;0.00;100.0;1.67;14.9;0;11.0;0.24;+2.0;9;0.75;81.0;33.3;3.5;4.67;0.0;0.0;19.33;32.67;3.67;7.42;8.0;618.25;472.83;0.0;0.0;0.42;0.08;0.0;0.08;1.24;1.17;0.0;0.0;0.25;-14.9;-1.24;38
Sergio Canales;Betis;ESP;MF;31;31;2402;4;3;3;4.4;5.9;0.15;0.11;0.11;0.16;0.22;La Liga;38;1.42;0.37;75.7;89.4;78.4;46.9;-2.9;0.45;0.58;0.45;1.26;0.26;54.1;0.9;51.9;4.16;0.30;35.1;1.52;34.8;0;0;0;0;0;0;0.0;0;0.0;0.0;3.33;-0.40000000000000036;36.0;47.55;20.1;10.29;3.19;538.35;144.87;0.16;1.81;3.03;1.65;0.45;4.61;1.12;3.9;0.29;1.03;0.42;-30.4;-0.9600000000000001;38
William Carvalho;Betis;POR;MF;30;33;2438;3;3;1;3.1;1.6;0.11;0.11;0.04;0.11;0.06;La Liga;26;0.96;0.33;86.5;91.5;87.6;76.3;-0.6;0.82;0.82;0.48;1.79;0.67;59.97;0.88;55.8;2.19;0.26;54.2;1.70;32.0;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;-0.10000000000000009;45.76;52.88;23.82;15.91;4.48;749.79;226.73;0.06;0.67;5.15;0.7;0.03;6.15;0.97;4.82;0.88;1.21;0.97;-28.9;-0.86;38
Juan Cruz;Betis;ESP;FW;22;6;178;1;1;0;0.5;0.1;0.51;0.51;0.0;0.23;0.07;La Liga;5;2.53;1.01;64.1;89.5;45.5;0.0;-0.1;0.0;0.17;0.0;0.17;0.0;10.5;0.5;42.9;1.52;0.00;33.3;1.33;1.6;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.5;4.17;6.5;2.83;0.83;0.0;47.0;12.0;0.02;0.33;0.0;0.0;0.0;0.17;0.27;1.33;0.67;0.33;0.17;-1.1;-0.04000000000000001;38
Fran Delgado;Betis;ESP;DF;21;1;12;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;87.5;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0;0.00;0.00;0;3.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;7.0;8.0;4.0;3.0;0.0;110.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38
Nabil Fekir;Betis;FRA;MF;29;15;961;2;1;2;2.4;2.7;0.19;0.09;0.19;0.23;0.26;La Liga;24;2.25;0.56;78.1;87.6;84.1;32.7;-0.7;0.33;0.4;0.07;0.8;0.0;40.47;1.13;38.6;5.24;0.47;42.1;1.73;10.1;0;0;0;0;0;0;0.0;0;0.0;0.0;6.0;-0.3999999999999999;25.2;32.27;15.07;6.0;1.2;316.4;91.13;0.16;1.53;2.27;0.93;0.07;2.73;0.67;2.07;1.4;2.6;0.53;-7.699999999999999;-0.44000000000000006;38
Luiz Felipe;Betis;ITA;DF;25;23;1763;0;0;0;0.2;0.3;0.0;0.0;0.0;0.01;0.02;La Liga;3;0.15;0.05;85.2;91.1;89.7;62.2;-0.3;1.0;1.87;1.22;2.7;4.61;49.09;0.22;55.6;0.36;0.05;46.3;1.35;25.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;32.74;38.43;13.3;15.48;3.0;573.83;223.17;0.01;0.13;1.43;0.04;0.04;1.83;1.1;3.48;0.43;0.43;1.35;-25.1;-1.09;38
Felix Garreta;Betis;ESP;DF;18;1;90;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;85.0;84.6;88.9;87.5;0.0;0.0;1.0;1.0;2.0;4.0;47.0;0.0;0;0.00;0.00;50.0;1.00;0.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;34.0;40.0;11.0;16.0;7.0;709.0;206.0;0.0;0.0;2.0;0.0;0.0;2.0;0.4;3.0;2.0;1.0;1.0;-0.4;-0.4;38
Édgar González;Betis;ESP;DF;25;25;1772;0;0;0;1.2;0.8;0.0;0.0;0.0;0.06;0.04;La Liga;9;0.46;0.15;88.8;92.0;92.5;70.1;-0.8;0.76;0.48;0.84;1.96;4.8;44.24;0.08;40.0;0.36;0.05;59.3;1.72;26.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.2;31.68;35.68;13.32;15.36;2.72;570.4;199.92;0.03;0.08;0.56;0.0;0.0;1.2;1.05;3.32;0.92;0.52;1.92;-25.0;-0.99;38
Roberto González;Betis;ESP;FW,MF;21;2;54;0;0;0;0.0;0.3;0.0;0.0;0.0;0.0;0.48;La Liga;0;0.00;0.00;86.2;85.7;100.0;60.0;-0.3;0.0;0.0;0.5;0.5;0.0;17.5;0.0;0.0;8.33;0.00;0;3.00;0.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;12.5;14.5;6.0;4.0;1.5;187.0;60.5;0.1;1.5;1.0;0.0;0.0;1.0;0.15;0.0;0.5;2.0;0.0;-0.3;-0.15;38
Andrés Guardado;Betis;MEX;MF;35;26;1373;1;1;1;0.3;1.1;0.07;0.07;0.07;0.02;0.07;La Liga;8;0.52;0.20;84.9;93.9;87.7;69.3;-0.1;0.96;0.54;0.88;2.46;1.12;39.31;0.19;50.0;2.10;0.33;37.0;1.65;21.6;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.7;28.42;33.46;13.12;11.23;3.65;530.46;153.65;0.04;0.46;2.69;0.19;0.0;2.77;0.83;4.65;0.62;0.38;0.65;-21.3;-0.8099999999999999;38
Luiz Henrique;Betis;BRA;FW;21;33;1807;1;1;3;3.2;2.9;0.05;0.05;0.15;0.16;0.14;La Liga;42;2.09;0.85;74.0;85.5;74.0;53.1;0.1;1.03;0.67;0.42;1.88;0.52;26.67;1.7;45.2;2.34;0.20;39.7;1.42;29.3;0;0;0;0;0;0;0.0;0;0.0;0.0;17.0;-2.2;12.58;17.0;8.03;3.45;0.52;172.88;34.48;0.06;0.52;0.39;0.42;0.18;0.79;0.89;3.85;0.76;1.24;0.82;-26.1;-0.73;38
